6.996782084483248176e-02,4.608324406793957995e-02,2.305662560437696934e-02,1.298250489536461293e-02,2.706090372570016736e-02,2.824429899697540602e-02,1.596079600922779840e-02,1.757808806193208659e-02,1.002091961043943998e-02,6.912785578686382083e-03,5.004953455368837609e-03,7.447097899330113596e-03,1.963595406093074369e-03,2.143615208233839650e-03,2.143615208233841819e-03,1.963595406093076971e-03,2.706090372570016736e-02,2.824429899697541296e-02,1.596079600922778799e-02,1.757808806193208659e-02,2.044987740372090218e-02,1.810233473013607430e-02,1.125746201201763448e-02,5.450124008154081344e-03,2.115141648223330118e-02,2.836532782508431431e-03,2.836532782508429697e-03,2.115141648223330464e-02,7.447097899330113596e-03,5.004953455368837609e-03,6.912785578686377747e-03,1.002091961043944865e-02,1.002091961043944345e-02,6.912785578686376879e-03,5.004953455368835007e-03,7.447097899330108392e-03,2.115141648223330464e-02,2.836532782508428829e-03,2.836532782508428829e-03,2.115141648223329424e-02,5.450124008154103028e-03,1.125746201201763448e-02,1.810233473013609512e-02,2.044987740372089177e-02,1.757808806193208312e-02,1.596079600922778452e-02,2.824429899697540255e-02,2.706090372570018818e-02,1.963595406093075237e-03,2.143615208233840518e-03,2.143615208233840951e-03,1.963595406093076971e-03,7.447097899330110127e-03,5.004953455368841078e-03,6.912785578686376879e-03,1.002091961043944345e-02,1.757808806193209006e-02,1.596079600922778452e-02,2.824429899697539562e-02,2.706090372570018471e-02,1.298250489536463374e-02,2.305662560437696934e-02,4.608324406793955913e-02,6.996782084483244013e-02
2.523720770819398024e-02,3.879180835361936003e-02,2.989742217746000144e-03,1.702247772150083938e-02,1.684114779875262730e-02,1.276707440267550384e-02,9.183909162553845467e-05,7.566645904810556655e-03,4.410040850194778261e-02,2.401098742143872519e-02,1.314296857597859261e-02,2.187992321096689230e-02,6.924360937884877464e-03,3.509266724043079433e-02,3.509266724043079433e-02,6.924360937884879198e-03,1.684114779875263423e-02,1.276707440267550904e-02,9.183909162553853599e-05,7.566645904810562727e-03,1.882508051364427046e-02,3.530856573710476772e-04,9.312796928138531230e-03,4.125676468684598940e-03,3.797354398941710577e-03,5.455684730097046763e-03,5.455684730097042426e-03,3.797354398941708408e-03,2.187992321096686801e-02,1.314296857597858220e-02,2.401098742143870438e-02,4.410040850194778261e-02,4.410040850194779649e-02,2.401098742143872519e-02,1.314296857597858567e-02,2.187992321096688536e-02,3.797354398941710577e-03,5.455684730097045028e-03,5.455684730097042426e-03,3.797354398941706240e-03,4.125676468684599807e-03,9.312796928138524291e-03,3.530856573710465930e-04,1.882508051364429127e-02,7.566645904810556655e-03,9.183909162553943045e-05,1.276707440267550210e-02,1.684114779875265158e-02,6.924360937884873994e-03,3.509266724043078045e-02,3.509266724043080821e-02,6.924360937884879198e-03,2.187992321096688536e-02,1.314296857597858220e-02,2.401098742143870438e-02,4.410040850194776180e-02,7.566645904810559257e-03,9.183909162553903743e-05,1.276707440267549343e-02,1.684114779875265505e-02,1.702247772150084631e-02,2.989742217745997542e-03,3.879180835361936697e-02,2.523720770819395248e-02
4.937329526401469659e-02,2.280272701473489566e-02,2.467600204475303011e-02,3.180925479663593985e-02,1.130386293302411763e-02,6.366101694808406000e-03,1.861261373745426656e-03,3.754295189213202339e-03,3.384644826211380408e-02,2.464957730393216653e-02,1.395400387045584931e-02,2.158978752571671933e-02,9.195899062449965772e-03,2.598257251192085185e-02,2.598257251192085532e-02,9.195899062449972711e-03,1.130386293302411763e-02,6.366101694808406000e-03,1.861261373745424922e-03,3.754295189213202339e-03,4.358758121773362131e-03,7.439016193388421280e-03,4.578159299400123838e-02,2.792468421750321939e-03,6.649266012371536335e-04,2.314706245856219639e-03,2.314706245856225277e-03,6.649266012371503809e-04,2.158978752571672974e-02,1.395400387045582849e-02,2.464957730393215959e-02,3.384644826211378327e-02,3.384644826211380408e-02,2.464957730393217347e-02,1.395400387045583890e-02,2.158978752571671933e-02,6.649266012371520072e-04,2.314706245856220940e-03,2.314706245856225277e-03,6.649266012371502724e-04,2.792468421750319337e-03,4.578159299400125920e-02,7.439016193388435158e-03,4.358758121773360396e-03,3.754295189213207543e-03,1.861261373745424705e-03,6.366101694808412072e-03,1.130386293302414018e-02,9.195899062449962302e-03,2.598257251192083797e-02,2.598257251192085185e-02,9.195899062449969241e-03,2.158978752571671933e-02,1.395400387045582849e-02,2.464957730393215266e-02,3.384644826211380408e-02,3.754295189213207543e-03,1.861261373745424705e-03,6.366101694808412939e-03,1.130386293302414365e-02,3.180925479663593985e-02,2.467600204475303011e-02,2.280272701473490607e-02,4.937329526401465496e-02
5.499227659019727960e-02,3.250934062900705246e-02,1.786340013903459437e-02,7.417525576098998701e-03,3.266729292962923352e-03,6.645460699014787628e-03,7.692850847540902252e-03,1.045968755437447911e-02,1.568643378582581030e-02,4.481093665637533169e-03,2.404818013690319944e-02,4.027182279167274004e-02,8.284088810118725790e-03,4.760370488057726751e-02,4.760370488057726751e-02,8.284088810118725790e-03,3.266729292962923352e-03,6.645460699014789363e-03,7.692850847540902252e-03,1.045968755437448258e-02,1.274124029482533692e-02,1.231691797531934453e-02,1.311354241111031479e-02,2.256875330874314462e-05,4.146719231844833362e-03,1.924822119075996754e-03,1.924822119075998922e-03,4.146719231844825555e-03,4.027182279167269147e-02,2.404818013690318210e-02,4.481093665637523628e-03,1.568643378582579989e-02,1.568643378582580683e-02,4.481093665637533169e-03,2.404818013690319944e-02,4.027182279167272616e-02,4.146719231844834229e-03,1.924822119075997621e-03,1.924822119076000657e-03,4.146719231844825555e-03,2.256875330874331403e-05,1.311354241111031826e-02,1.231691797531936187e-02,1.274124029482534212e-02,1.045968755437449473e-02,7.692850847540905722e-03,6.645460699014794567e-03,3.266729292962924653e-03,8.284088810118729260e-03,4.760370488057726751e-02,4.760370488057730221e-02,8.284088810118722321e-03,4.027182279167270534e-02,2.404818013690316822e-02,4.481093665637522760e-03,1.568643378582579642e-02,1.045968755437449126e-02,7.692850847540898783e-03,6.645460699014791098e-03,3.266729292962924653e-03,7.417525576098992629e-03,1.786340013903460477e-02,3.250934062900705246e-02,5.499227659019727960e-02
1.149916929176114308e-02,2.117142181090694159e-02,3.866326785634943003e-02,1.831409425187341747e-02,7.388631212733591698e-03,5.223774451555083728e-03,3.393575726790340388e-03,1.427455339149638278e-02,9.588518401562592941e-03,7.625347349656640648e-03,3.675451519702492564e-02,4.491378730433397831e-02,1.591676024376145054e-02,3.577586176400943119e-02,3.577586176400941037e-02,1.591676024376144361e-02,7.388631212733585626e-03,5.223774451555085463e-03,3.393575726790347760e-03,1.427455339149636890e-02,6.195048897736601078e-03,6.699032074689361196e-03,1.740843364569760396e-02,1.009470359888649206e-03,1.028095142989719649e-04,8.561896348325059164e-03,8.561896348325071307e-03,1.028095142989727916e-04,4.491378730433397831e-02,3.675451519702487707e-02,7.625347349656625903e-03,9.588518401562592941e-03,9.588518401562599880e-03,7.625347349656640648e-03,3.675451519702492564e-02,4.491378730433397831e-02,1.028095142989720055e-04,8.561896348325066103e-03,8.561896348325067838e-03,1.028095142989729949e-04,1.009470359888649856e-03,1.740843364569762131e-02,6.699032074689375942e-03,6.195048897736603680e-03,1.427455339149639492e-02,3.393575726790354265e-03,5.223774451555079391e-03,7.388631212733600372e-03,1.591676024376144361e-02,3.577586176400943119e-02,3.577586176400943119e-02,1.591676024376144361e-02,4.491378730433392974e-02,3.675451519702488401e-02,7.625347349656638046e-03,9.588518401562591206e-03,1.427455339149638798e-02,3.393575726790353398e-03,5.223774451555081126e-03,7.388631212733597770e-03,1.831409425187340359e-02,3.866326785634939533e-02,2.117142181090693465e-02,1.149916929176112573e-02
1.232801220820910378e-02,2.084659296040396181e-02,4.267951820473209201e-02,3.196325206180117284e-02,1.092730808741459135e-02,1.232621846586519701e-02,6.568210283258761606e-03,4.954862277196767258e-03,9.107765183552088764e-04,2.268938420756181056e-03,2.374361835153272760e-02,3.843683137217808465e-02,1.406157367826798080e-02,5.076677381629816910e-02,5.076677381629819685e-02,1.406157367826797733e-02,1.092730808741459135e-02,1.232621846586520395e-02,6.568210283258764208e-03,4.954862277196760319e-03,9.370030446305327443e-03,1.160138627355120251e-02,2.329364504353626311e-02,1.495476817903748775e-03,8.797341875685591719e-04,7.366197533086321289e-03,7.366197533086329095e-03,8.797341875685591719e-04,3.843683137217809853e-02,2.374361835153271719e-02,2.268938420756174117e-03,9.107765183552084427e-04,9.107765183552101775e-04,2.268938420756180189e-03,2.374361835153274494e-02,3.843683137217812629e-02,8.797341875685584130e-04,7.366197533086321289e-03,7.366197533086327361e-03,8.797341875685591719e-04,1.495476817903748775e-03,2.329364504353627005e-02,1.160138627355123027e-02,9.370030446305332647e-03,4.954862277196767258e-03,6.568210283258767677e-03,1.232621846586520568e-02,1.092730808741460349e-02,1.406157367826797733e-02,5.076677381629817604e-02,5.076677381629817604e-02,1.406157367826797733e-02,3.843683137217807078e-02,2.374361835153271025e-02,2.268938420756175418e-03,9.107765183552073585e-04,4.954862277196768125e-03,6.568210283258767677e-03,1.232621846586520395e-02,1.092730808741460696e-02,3.196325206180115897e-02,4.267951820473208507e-02,2.084659296040396181e-02,1.232801220820908990e-02
5.335191166644313344e-03,3.636949737464521826e-02,5.498594887219618310e-02,1.902794486333410709e-02,4.160842668087063635e-03,4.815674490433696948e-03,9.534124069778762353e-03,1.699893763096961205e-02,4.875782197851475167e-03,1.082902928589730973e-02,2.751831841851533692e-02,3.136072407493846470e-02,9.766780279625717626e-03,5.120810309612345429e-02,5.120810309612347511e-02,9.766780279625717626e-03,4.160842668087067972e-03,4.815674490433695214e-03,9.534124069778760618e-03,1.699893763096961205e-02,2.824395988289265039e-03,7.093607790385747340e-03,1.920298349032172058e-02,2.065069673172951570e-04,2.326125207948330010e-04,6.176033010417340645e-03,6.176033010417347584e-03,2.326125207948328384e-04,3.136072407493843694e-02,2.751831841851531263e-02,1.082902928589730279e-02,4.875782197851475167e-03,4.875782197851476901e-03,1.082902928589730973e-02,2.751831841851533692e-02,3.136072407493847858e-02,2.326125207948333262e-04,6.176033010417340645e-03,6.176033010417344982e-03,2.326125207948330010e-04,2.065069673172948317e-04,1.920298349032172752e-02,7.093607790385764687e-03,2.824395988289270243e-03,1.699893763096962593e-02,9.534124069778769292e-03,4.815674490433696948e-03,4.160842668087066237e-03,9.766780279625717626e-03,5.120810309612345429e-02,5.120810309612348898e-02,9.766780279625719360e-03,3.136072407493841613e-02,2.751831841851529875e-02,1.082902928589730800e-02,4.875782197851475167e-03,1.699893763096962593e-02,9.534124069778772761e-03,4.815674490433695214e-03,4.160842668087067972e-03,1.902794486333407586e-02,5.498594887219613453e-02,3.636949737464525989e-02,5.335191166644308140e-03
6.159880901066821374e-03,4.624857181985411736e-02,2.788899228186676738e-02,1.013633110501324826e-02,7.704240937454702627e-03,6.075420705389344804e-03,1.135490755251321142e-02,1.801213253316766294e-02,5.676320584936367028e-03,1.328648136400065703e-02,2.488853215258664611e-02,1.810005405907081158e-02,1.647329300545163563e-02,5.287988301274712533e-02,5.287988301274716002e-02,1.647329300545164951e-02,7.704240937454702627e-03,6.075420705389343069e-03,1.135490755251321142e-02,1.801213253316765600e-02,3.529902087265501375e-03,1.095532754766298869e-02,1.515615866067433065e-02,4.108278972808493412e-03,2.124283040869676760e-04,1.324458410048884663e-02,1.324458410048885357e-02,2.124283040869673778e-04,1.810005405907078729e-02,2.488853215258660101e-02,1.328648136400063448e-02,5.676320584936360956e-03,5.676320584936367028e-03,1.328648136400065009e-02,2.488853215258663917e-02,1.810005405907081158e-02,2.124283040869679199e-04,1.324458410048884663e-02,1.324458410048885357e-02,2.124283040869672152e-04,4.108278972808489943e-03,1.515615866067433759e-02,1.095532754766300777e-02,3.529902087265503977e-03,1.801213253316766988e-02,1.135490755251322183e-02,6.075420705389356080e-03,7.704240937454707831e-03,1.647329300545164257e-02,5.287988301274715308e-02,5.287988301274715308e-02,1.647329300545164951e-02,1.810005405907078035e-02,2.488853215258660101e-02,1.328648136400063795e-02,5.676320584936358354e-03,1.801213253316766294e-02,1.135490755251322703e-02,6.075420705389359549e-03,7.704240937454707831e-03,1.013633110501323611e-02,2.788899228186674656e-02,4.624857181985413124e-02,6.159880901066821374e-03
7.054721439784151713e-03,6.261653753533776012e-02,4.646232533174241008e-02,1.276568408766432135e-02,1.033311588339770257e-02,1.067654768251641122e-02,1.018282751781437838e-02,1.463449214630120968e-02,1.891346055627237538e-02,1.401561878274923227e-02,1.242347319264589488e-02,1.402956520027882729e-02,6.733482449894368990e-03,5.009617434338325959e-02,5.009617434338325959e-02,6.733482449894377664e-03,1.033311588339770083e-02,1.067654768251640254e-02,1.018282751781437838e-02,1.463449214630120100e-02,5.191243051979570720e-03,6.797032969490437310e-03,2.016998377535567447e-02,8.474849157838568615e-04,7.805034705120510240e-05,6.930685344126052104e-03,6.930685344126057308e-03,7.805034705120475003e-05,1.402956520027880995e-02,1.242347319264588100e-02,1.401561878274923227e-02,1.891346055627236844e-02,1.891346055627238232e-02,1.401561878274923227e-02,1.242347319264589488e-02,1.402956520027882209e-02,7.805034705120507529e-05,6.930685344126046900e-03,6.930685344126056441e-03,7.805034705120477713e-05,8.474849157838583794e-04,2.016998377535569528e-02,6.797032969490451187e-03,5.191243051979574190e-03,1.463449214630120968e-02,1.018282751781438705e-02,1.067654768251642163e-02,1.033311588339770951e-02,6.733482449894368990e-03,5.009617434338323183e-02,5.009617434338325959e-02,6.733482449894375062e-03,1.402956520027880995e-02,1.242347319264587580e-02,1.401561878274922013e-02,1.891346055627236844e-02,1.463449214630121488e-02,1.018282751781438358e-02,1.067654768251641469e-02,1.033311588339770951e-02,1.276568408766430400e-02,4.646232533174236845e-02,6.261653753533774625e-02,7.054721439784151713e-03
1.251404971504376830e-02,5.682910709453297543e-02,3.766471897804560959e-02,7.511778315658981797e-03,9.346297761362809542e-03,8.357957342570179748e-03,1.027738451050445694e-02,1.371250342171389906e-02,1.625873764142505770e-02,1.604601114163356837e-02,1.543152716238303974e-02,1.218995301882512886e-02,1.813948958384176482e-02,4.575548731993613061e-02,4.575548731993613061e-02,1.813948958384178564e-02,9.346297761362811277e-03,8.357957342570178014e-03,1.027738451050446214e-02,1.371250342171389906e-02,1.783656040070923793e-04,4.159175072793878762e-03,1.593162884661350823e-02,1.376681351119322190e-04,1.536488324096429135e-04,1.686775638249044321e-02,1.686775638249046055e-02,1.536488324096434556e-04,1.218995301882511498e-02,1.543152716238301199e-02,1.604601114163355449e-02,1.625873764142505076e-02,1.625873764142507158e-02,1.604601114163357531e-02,1.543152716238303974e-02,1.218995301882512886e-02,1.536488324096429677e-04,1.686775638249045015e-02,1.686775638249046055e-02,1.536488324096435911e-04,1.376681351119314601e-04,1.593162884661353251e-02,4.159175072793895242e-03,1.783656040070937345e-04,1.371250342171390774e-02,1.027738451050447081e-02,8.357957342570190157e-03,9.346297761362823420e-03,1.813948958384176482e-02,4.575548731993613061e-02,4.575548731993610979e-02,1.813948958384178564e-02,1.218995301882510977e-02,1.543152716238300678e-02,1.604601114163355449e-02,1.625873764142504382e-02,1.371250342171390427e-02,1.027738451050446561e-02,8.357957342570195361e-03,9.346297761362825154e-03,7.511778315658973991e-03,3.766471897804558183e-02,5.682910709453297543e-02,1.251404971504376309e-02
